config_index,algorithm_id,median_relative_path_length,median_path_length
51,visibility_dijkstra,1.0047611990865348,1215.968238387145
52,grid_astar,1.0606928037792063,1927.7837606431874
52,grid_dijkstra,1.060692803779206,1927.7837606431863
52,rrt,1.1235856173894256,2030.3717771578797
52,visibility_astar,1.0160572038838058,1849.9408356892513
52,visibility_dijkstra,1.0160572038838058,1849.9408356892513
53,grid_astar,1.0583506566777996,1800.2742651672975
53,grid_dijkstra,1.0583506566778,1800.274265167298
53,rrt,1.0852586564228057,1851.3953227388008
53,visibility_astar,1.0076207208847885,1716.2599108071313
53,visibility_dijkstra,1.0076207208847885,1716.2599108071313
